'Prod_ID','DescGen','DescAdic','Marca','Proveedor','Cat_ID','SubCat_ID','CantEnvase'
'TB18K','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: K  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18S','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: S  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18T','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: T  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18XBLM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XBLM  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18XGNM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGNM  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18XGR','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGR  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18XSBL','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XSBL  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB18Z','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: Z  Peso: 18 grs.','WATERDOG','000012','PESP','98',6
'TB28D','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: D  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28G','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: G  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28HGPM','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGPM  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28HGR','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGR  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28HGRT','CUCHARA TOBIX HOLOGRAM','CUCHARA TOBIX HOLOGRAM  Tipo: HGRT  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28K','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: K  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28S','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: S  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28T','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: T  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28XBLM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XBLM  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28XGNM','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGNM  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28XGR','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XGR  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28XSBL','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XSBL  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB28Z','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: Z  Peso: 28 grs.','WATERDOG','000012','PESP','98',6
'TB32G','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: G  Peso: 32 grs.','WATERDOG','000012','PESP','98',6
'TB32K','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: K  Peso: 32 grs.','WATERDOG','000012','PESP','98',6
'TB32S','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: S  Peso: 32 grs.','WATERDOG','000012','PESP','98',6
'TB32XSBL','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: XSBL  Peso: 32 grs.','WATERDOG','000012','PESP','98',6
'TB32Z','CUCHARA TOBIX SPOON','CUCHARA TOBIX SPOON  Tipo: Z  Peso: 32 grs.','WATERDOG','000012','PESP','98',6
