venta_id,categoria,monto_total
851,CAMP,8046
851,TIRO,3046
852,PESC,13377
852,PESP,0
852,PESR,13039
853,PESP,2665
853,PESR,4244
855,OPTI,10050
856,OPTI,27564
857,OPTI,19950
858,CAMP,6862
859,CAMP,5448
860,CAMP,226
860,CUCH,1278
860,INDU,1168
864,CAMP,1205
864,INDP,882
864,PESP,4309
865,CAMP,3624
865,INDU,4351
866,PESP,1428
866,PESR,10227
867,CAMP,2112
871,INDP,3726
872,INDU,1605
873,CAMP,873
873,PESR,1080
874,CAMP,3652
875,OPTI,1515
876,CAMP,2070
876,INST,562
876,OPTI,2772
877,CAMP,800
877,OPTI,5762
878,OPTI,76384
879,CAMP,4640
879,INST,381
879,PESC,4918
879,PESP,1169
879,PESR,5775
880,CAMP,8066
880,CUCH,416
880,OPTI,771
881,CAMP,5467
881,PESP,3929
881,TIRO,2664
882,CAMP,20504
882,INDU,5296
882,TIRO,993
883,INDU,1648
883,PESP,12806
883,TIRO,5148
884,CAMP,3277
885,CAMP,1038
886,OPTI,1268
886,PESC,25450
886,PESP,1104
886,PESR,13884
887,PESC,6992
887,PESP,2140
887,PESR,5923
888,CAMP,28980
889,CAMP,7325
894,PESP,6489
895,PESC,5060
895,PESR,4022
896,CAMP,362
897,PESC,4740
897,PESR,4140
898,OPTI,22945
899,PESC,16344
899,PESR,21811
900,INDP,2870
901,OPTI,40421
902,PESC,22076
902,PESP,3480
903,OPTI,7144
904,OPTI,1004
905,CAMP,57
905,OPTI,603
906,PESC,23149
906,PESR,8537
907,PESC,764
907,PESR,2407
908,OPTI,27054
909,CAMP,454
909,PESP,1718
909,PESR,821
910,INDU,7786
911,PESC,1934
911,PESR,765
912,CAMP,9262
913,CAMP,9262
914,OPTI,1646
915,TIRO,2580
916,OPTI,4818
917,INDU,5830
917,PESC,490
918,CAMP,3277
921,CAMP,6162
922,OPTI,6741
923,CAMP,12255
924,INDP,2964
925,CAMP,6828
925,OPTI,12762
926,PESC,3806
926,PESP,837
926,PESR,1689
927,CAMP,1130
927,CUCH,5095
928,OPTI,17780
929,OPTI,10823
930,CAMP,2450
930,INST,934
930,PESC,5162
930,PESP,2306
930,PESR,6435
931,INDP,1613
931,PESP,13714
931,PESR,4334
932,CAMP,15912
932,INDU,2548
932,OPTI,4580
932,PESC,900
932,PESR,324
933,OPTI,5892
934,INDU,972
934,PESP,445
934,PESR,3029
935,CAMP,18944
935,OPTI,9144
936,PESC,6056
936,PESP,3138
936,PESR,5172
937,PESP,0
938,INDP,14904
939,CAMP,34153
940,CAMP,39536
941,CAMP,7068
941,INDP,11034
941,INDU,35484
945,CAMP,10214
945,CUCH,300
945,INDU,109
946,CAMP,2008
947,CAMP,24406
947,INDU,11292
947,PESP,12140
948,CAMP,15960
948,PESP,140
949,CAMP,900
949,PESP,1400
950,PESC,2939
950,PESP,224
950,PESR,1713
951,INDU,18082
952,CAMP,1839
952,CUCH,4577
952,OPTI,2902
953,CUCH,2528
953,PESP,2700
954,CAMP,1965
955,OPTI,3292
956,OPTI,2412
957,CAMP,2626
957,INDP,5928
957,PESP,6707
960,CAMP,3277
960,PESR,1322
961,PESC,4374
961,PESP,809
961,PESR,3368
962,INDP,2188
962,PESC,4302
963,PESC,11864
963,PESP,1056
963,PESR,6292
964,OPTI,6741
965,PESC,20308
965,PESP,0
965,PESR,5238
966,PESC,15061
967,CAMP,1546
967,OPTI,7827
968,CAMP,482
